Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100000,2023-03-09,2023-03-16,C-197,Customer 197,Consumer,India,Chennai,Delhi,East,Technology,Accessories,Accessories Model 13,29789.63,4,0.2,3852.63
ORD-100001,2023-11-21,2023-11-23,C-112,Customer 112,Home Office,India,Hyderabad,Karnataka,South,Office Supplies,Paper,Paper Model 19,1709.34,2,0.0,213.9
ORD-100002,2023-05-21,2023-05-25,C-021,Customer 021,Home Office,India,Chennai,Telangana,East,Technology,Copiers,Copiers Model 9,8354.17,3,0.0,2148.97
ORD-100003,2023-11-30,2023-12-07,C-030,Customer 030,Corporate,India,Delhi,Karnataka,North,Office Supplies,Binders,Binders Model 20,782.89,1,0.05,124.11
ORD-100004,2023-10-06,2023-10-09,C-030,Customer 030,Home Office,India,Chennai,Karnataka,West,Technology,Accessories,Accessories Model 20,48553.55,7,0.0,12971.4
ORD-100005,2023-12-31,2024-01-05,C-237,Customer 237,Home Office,India,Delhi,Tamil Nadu,South,Technology,Accessories,Accessories Model 14,13634.72,4,0.0,1845.69
ORD-100006,2023-08-07,2023-08-08,C-173,Customer 173,Home Office,India,Chennai,Tamil Nadu,East,Office Supplies,Storage,Storage Model 1,3737.06,5,0.05,466.56
ORD-100007,2023-04-01,2023-04-04,C-008,Customer 008,Consumer,India,Chennai,Maharashtra,East,Furniture,Furnishings,Furnishings Model 5,15190.68,4,0.15,77.87
ORD-100008,2023-04-27,2023-05-01,C-004,Customer 004,Home Office,India,Bangalore,Maharashtra,South,Technology,Phones,Phones Model 6,24430.2,7,0.2,2116.03
ORD-100009,2023-09-02,2023-09-08,C-091,Customer 091,Consumer,India,Chennai,Maharashtra,North,Office Supplies,Art,Art Model 19,8237.66,7,0.2,287.28
ORD-100010,2024-10-11,2024-10-15,C-237,Customer 237,Corporate,India,Delhi,Tamil Nadu,North,Furniture,Tables,Tables Model 1,1907.68,1,0.3,-512.72
ORD-100011,2023-03-10,2023-03-12,C-228,Customer 228,Corporate,India,Delhi,Karnataka,East,Office Supplies,Paper,Paper Model 8,2134.22,5,0.1,242.87
ORD-100012,2024-10-28,2024-11-02,C-021,Customer 021,Consumer,India,Bangalore,Tamil Nadu,North,Office Supplies,Binders,Binders Model 11,4659.56,7,0.15,319.7
ORD-100013,2023-11-14,2023-11-18,C-145,Customer 145,Corporate,India,Delhi,Tamil Nadu,South,Furniture,Tables,Tables Model 11,21756.81,7,0.3,-7560.88
ORD-100014,2024-02-03,2024-02-04,C-011,Customer 011,Consumer,India,Hyderabad,Telangana,North,Technology,Copiers,Copiers Model 23,20608.68,3,0.05,4610.73
ORD-100015,2023-04-12,2023-04-19,C-024,Customer 024,Consumer,India,Mumbai,Maharashtra,North,Technology,Copiers,Copiers Model 23,19643.98,4,0.3,2132.15
ORD-100016,2023-04-29,2023-04-30,C-019,Customer 019,Consumer,India,Bangalore,Telangana,West,Furniture,Bookcases,Bookcases Model 21,10656.26,4,0.5,-1791.28
ORD-100017,2023-08-30,2023-09-02,C-268,Customer 268,Consumer,India,Mumbai,Karnataka,East,Office Supplies,Paper,Paper Model 23,3450.14,5,0.0,763.97
ORD-100018,2023-05-10,2023-05-15,C-001,Customer 001,Home Office,India,Chennai,Telangana,North,Technology,Phones,Phones Model 8,24553.96,3,0.0,5014.19
